country_name,wc_playedin,wc_wins,wc_losses,wc_ties,wc_champs,success_rating,third_place_wins,lat,lon,second_place
Mexico,15,14,27,12,0,355,0,25.388,-103.061,0
Belgium,12,15,18,8,0,329,0,50.696,4.795,0
Brazil,20,73,19,12,5,1961,2,-11.135,-46.052,2
Peru,4,4,8,3,0,105,0,-8.529,-76.034,0
France,14,30,21,8,1,798,2,47.752,2.358,1
Bolivia,3,0,5,1,0,57,0,-15.976,-63.733,0
Paraguay,8,8,10,9,0,195,0,-22.329,-59.099,0
Romania,7,8,10,3,0,186,0,46.201,24.925,0
Chile,9,11,16,6,0,285,1,-25.591,-69.947,0
USA,10,8,19,6,0,221,0,41.401,-97.781,0
Yugoslavia,9,16,14,7,0,310,0,44.69974,18.92739,0
Argentina,16,46,22,9,2,1078,0,-33.241,-64.657,3
Egypt,2,0,2,2,0,39,0,27.876,29.783,0
Netherlands,10,28,13,9,0,595,1,52.039,5.539,3
Switzerland,10,11,17,5,0,253,0,46.945,8.603,0
Sweden,11,17,17,12,0,508,2,63.436,16.409,1
Spain,14,30,21,8,1,612,0,40.521,-2.813,0
Hungary,9,15,14,3,0,406,0,47.373,19.651,2
Austria,7,12,13,4,0,296,1,47.641,14.89,0
Germany,8,31,8,5,1,712,3,51.438,10.558,1
Czechoslovakia,8,11,15,4,0,371,0,49.419986,17.379165,2
Dutch East Indies,1,0,1,0,0,20,0,-1.903854,113.643271,0
Norway,3,2,3,3,0,63,0,60.972,9.293,0
Poland,7,15,11,5,0,340,2,52.331,19.367,0
Cuba,1,1,1,1,0,33,0,20.759,-76.528,0
Italy,18,46,21,16,4,1472,1,44.97,10.588,2
England,14,26,19,17,1,615,0,52.449,-1.033,0
Scotland,8,4,12,7,0,173,0,57.155,-4.079,0
Turkey,2,5,4,1,0,117,1,39.28,34.881,0
Korea Republic,9,6,17,8,0,193,0,36.342,128.038,0
Germany FR,10,39,12,11,3,1184,1,50.296,7.634,3
Uruguay,12,21,19,11,2,703,0,-32.402,-56.043,0
Wales,1,1,1,3,0,32,0,52.097,-3.824,0
Northern Ireland,3,3,5,5,0,81,0,54.862,-6.758,0
Soviet Union,7,15,10,6,0,261,0,63.276,93.161,0
Colombia,5,7,9,2,0,123,0,4.073,-72.844,0
Bulgaria,7,4,15,7,0,184,0,42.907,25.273,0
Korea DPR,2,1,5,1,0,38,0,39.809,126.687,0
Portugal,6,14,9,3,0,239,1,40.075,-8.027,0
Israel,1,0,1,2,0,24,0,31.148,34.786,0
Morocco,4,2,7,4,0,80,0,32.805,-5.609,0
El Salvador,2,0,6,0,0,35,0,13.621,-88.742,0
Australia,4,2,8,3,0,68,0,-29.802,143.717,0
Haiti,1,0,3,0,0,20,0,19.206,-72.205,0
German DR,1,2,2,2,0,42,0,51.466,13.76,0
Democratic Republic of the Congo,1,0,3,0,0,20,0,-1.588,23.881,0
IR Iran,3,0,4,2,0,44,0,32.048,55.567,0
Tunisia,4,1,7,4,0,64,0,35.211,9.562,0
Iran,3,1,4,1,0,48,0,32.048,55.567,0
Cameroon,7,4,12,7,0,130,0,5.125,12.621,0
New Zealand,2,0,3,3,0,31,0,-44.774,169.857,0
Algeria,4,3,7,3,0,74,0,29.409,2.493,0
Honduras,3,0,6,3,0,41,0,14.698,-86.539,0
Kuwait,1,0,2,1,0,17,0,29.465,47.386,0
Iraq,1,0,3,0,0,15,0,32.338,44.269,0
Denmark,4,8,6,2,0,104,0,56.214,9.335,0
Canada,1,0,3,0,0,15,0,53.407,-104.956,0
Ireland,3,2,5,6,0,64,0,52.914604,-7.721965,0
United Arab Emirates,1,0,3,0,0,15,0,23.946,54.612,0
Costa Rica,4,6,7,2,0,92,0,9.977,-83.868,0
Saudi Arabia,4,2,9,2,0,61,0,24.981,44.194,0
Russia,3,2,5,2,0,51,0,64.674,99.313,0
Greece,3,2,7,1,0,49,0,39.739,21.835,0
Nigeria,5,5,10,3,0,91,0,8.557,7.831,0
South Africa,3,2,3,4,0,50,0,-29.629,24.258,0
Japan,5,4,10,3,0,80,0,36.492,139.099,0
Croatia,4,7,7,2,0,141,1,45.694,16.525,0
Jamaica,1,1,2,0,0,16,0,18.202,-77.389,0
Senegal,1,2,1,2,0,33,0,14.965,-15.131,0
Slovenia,2,1,4,1,0,28,0,46.16,14.832,0
Ecuador,3,4,5,1,0,56,0,-1.075,-77.749,0
China PR,1,0,3,0,0,10,0,30.905,111.411,0
Cote d'Ivoire,3,3,5,1,0,50,0,8.307,-5.591,0
Czech Republic,1,1,2,0,0,16,0,49.922,15.437,0
Ghana,3,4,6,2,0,65,0,7.333,-1.105,0
Togo,1,0,3,0,0,10,0,8.042,1.083,0
Ukraine,1,3,2,0,0,35,0,49.519,30.319,0
Trinidad and Tobago,1,0,2,1,0,12,0,10.321,-61.233,0
Serbia and Montenegro,1,0,3,0,0,10,0,43.703475,20.299265,0
Angola,1,0,1,2,0,14,0,-11.234,17.481,0
Slovakia,1,1,2,1,0,18,0,48.842,19.324,0
Serbia,1,1,2,0,0,16,0,44.454,20.722,0
Bosnia and Herzegovina,1,1,2,0,0,16,0,44.329,17.942,0
,,,,,,0,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
